city,device,os,region,source
San Miguel el Alto,Android,Chrome Mobile 102,Jalisco,adwords
Querétaro City,Android,Chrome Mobile 102,Querétaro,adwords
Hermosillo,Android,Chrome Mobile 102,Sonora,Sin info
Zapopan,Android,Chrome Mobile 102,Jalisco,adwords
León,Android,Chrome 70,Guanajuato,Sin info
Puebla,Windows,Chrome 102,Mexico City,Sin info
Tlaquepaque,Android,Chrome Mobile 102,Jalisco,adwords
Venustiano Carranza,Android,Chrome Mobile 102,Mexico City,Sin info
Ciudad Victoria,Android,Chrome Mobile 102,Tamaulipas,fb
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Ciudad Juárez,Windows,Chrome 102,Chihuahua,adwords
Lerma de Villada,Android,Chrome Mobile 102,México,Sin info
Los Mochis,Android,Chrome Mobile 102,Sinaloa,adwords
Tlalpan,Android,Chrome Mobile 102,Mexico City,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Santa Maria Chimalhuacan,Android,Chrome Mobile 102,México,adwords
Puebla City,Apple iPhone,Mobile Safari 15,Puebla,Sin info
Tlalnepantla,Android,Chrome Mobile 102,México,Sin info
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Coatzacoalcos,Android,Chrome Mobile 102,Veracruz,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Tlalnepantla,Windows,Chrome 102,México,adwords
Culiacán,Apple iPhone,GSA 213,Sinaloa,adwords
Sin info,Android,Chrome Mobile 102,Sinaloa,rocket
Morelia,Android,Chrome Mobile 102,Michoacán,adwords
Ecatepec,Android,Chrome Mobile 85,México,adwords
Acapulco de Juárez,Android,Chrome Mobile 102,Guerrero,rocket
Calimaya,Android,Facebook 350,México,rocket
San Jose,Linux,Firefox 17,California,Sin info
Querétaro City,Android,Chrome Mobile 100,Querétaro,adwords
Mexicali,Android,Chrome Mobile 97,Baja California,rocket
Mexico City,Windows,Chrome 102,Mexico City,adwords
León,Windows,Chrome 102,Guanajuato,adwords
Juarez,Android,Chrome Mobile 102,Quintana Roo,adwords
Guadalajara,Android,Facebook 369,Jalisco,Sin info
Tepic,Android,Chrome Mobile 102,Nayarit,Sin info
Oaxaca City,Android,Chrome Mobile 102,Oaxaca,google2
Cosoleacaque,Windows,Chrome 102,Veracruz,Sin info
Santa Maria Chimalhuacan,Android,Chrome Mobile 101,México,adwords
Zumpango,Android,Chrome WebView 102,México,Sin info
Puebla City,Android,Chrome Mobile 102,Puebla,blog
Houston,Windows,Chrome 102,Texas,Sin info
Veracruz,Android,Chrome Mobile 102,Veracruz,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Sin info,Android,Chrome Mobile 102,Jalisco,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,rocket
Guadalajara,Android,Chrome Mobile 100,Jalisco,adwords
Guadalajara,Android,Samsung Browser 16,Jalisco,adwords
Puebla City,Android,Chrome Mobile 101,Puebla,adwords
Cuernavaca,Windows,Chrome 102,Morelos,adwords
Ciudad Juárez,Apple iPhone,Mobile Safari 15,Chihuahua,Sin info
Mexico City,Windows,Edge 102,Mexico City,Sin info
Naucalpan,Android,Chrome Mobile 102,México,rocket
Huimanguillo,Android,Chrome Mobile 102,Tabasco,adwords
Huatusco,Android,Chrome Mobile 102,Veracruz,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Temoaya,Android,Chrome Mobile 101,México,Sin info
Acaponeta,Android,Chrome Mobile 102,Nayarit,adwords
Mexico City,Android,Chrome Mobile 90,Mexico City,adwords
Guadalajara,Android,Chrome Mobile 83,Jalisco,adwords
Mérida,Android,MIUI Browser 12,Yucatán,Sin info
Durango,Android,Chrome Mobile 102,Durango,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,Sin info
Gustavo Adolfo Madero,Android,Chrome Mobile 101,Mexico City,adwords
Querétaro,Android,Chrome Mobile 102,Querétaro,Sin info
León,Windows,Chrome 101,Guanajuato,adwords
Chalco,Android,Chrome Mobile 102,México,adwords
Sin info,Android,Chrome Mobile 102,Jalisco,adwords
San Luis Potosí City,Android,Chrome Mobile 102,San Luis Potosí,rocket
Puebla City,Android,Chrome 92,Puebla,Sin info
Sin info,Android,Chrome Mobile 101,Jalisco,rocket
Huimanguillo,Android,Chrome Mobile 102,Tabasco,adwords
Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords
Puebla City,Android,Chrome Mobile 93,Puebla,adwords
Solidaridad,Android,Chrome Mobile 102,Quintana Roo,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,rocket
Tijuana,Apple iPhone,Mobile Safari 15,Baja California,adwords
Tamazula de Gordiano,Android,Chrome Mobile 102,Jalisco,adwords
León,Apple iPhone,GSA 214,Guanajuato,adwords
Cuernavaca,Android,Chrome Mobile 102,Morelos,adwords
Iztapalapa,Android,Chrome Mobile 96,Mexico City,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Ecatepec,Android,Chrome Mobile 102,México,google2
Culiacán,Android,Chrome Mobile 101,Sinaloa,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Chalco,Android,Chrome Mobile 50,México,fb
Cortazar,Android,Chrome Mobile 102,Guanajuato,adwords
Tlalnepantla,Android,Chrome Mobile 102,México,adwords
Guadalupe,Android,Chrome Mobile 102,Nuevo León,adwords
Juarez,Android,Chrome Mobile 102,Quintana Roo,Sin info
Pachuca,Windows,Chrome 102,Hidalgo,adwords
Iztapalapa,Android,Opera 69,Mexico City,adwords
Juarez,Android,Chrome Mobile 102,Quintana Roo,Sin info
Monterrey,Android,Chrome Mobile 102,Nuevo León,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,rocket
Querétaro City,Android,Chrome Mobile 102,Querétaro,rocket
Tuxtla Gutiérrez,Apple iPhone,Mobile Safari 12,Chiapas,Sin info
Arandas,Android,Chrome Mobile 102,Jalisco,Sin info
Chihuahua City,Chromium OS,Chrome 101,Chihuahua,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Toluca,Android,Chrome Mobile 102,México,adwords
Puebla City,Android,Chrome Mobile 101,Puebla,adwords
Lazaro Cardenas,Windows,Chrome 102,Michoacán,Sin info
Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Orizaba,Android,Chrome Mobile 101,Veracruz,adwords
Coyoacán,Android,Chrome Mobile 102,Mexico City,adwords
Veracruz,Android,Chrome Mobile 102,Veracruz,google2
Apodaca,Android,Chrome Mobile 102,Nuevo León,adwords
Fresnillo,Android,Chrome Mobile 102,Zacatecas,Sin info
Monterrey,Android,Chrome Mobile 102,Nuevo León,rocket
Aguascalientes,Android,Chrome Mobile 102,Aguascalientes,Sin info
Heroica Caborca,Apple iPad,Mobile Safari 14,Sonora,Sin info
Ciudad Delicias,Android,Chrome Mobile 102,Chihuahua,Sin info
Tuxtla Gutiérrez,Android,Chrome Mobile 102,Chiapas,adwords
Mexico City,Android,Chrome WebView 102,Mexico City,Sin info
Ixmiquilpan,Android,Chrome Mobile 100,Hidalgo,Sin info
Ciudad Nezahualcoyotl,Windows,Chrome 102,México,adwords
Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,Sin info
Chalco,Android,Chrome Mobile 102,México,adwords
Aguascalientes,Android,Chrome Mobile 101,Aguascalientes,adwords
Mexico City,Apple iPhone,Mobile Safari 12,Mexico City,rocket
Guayaquil,Android,Chrome Mobile 102,Provincia del Guayas,Sin info
Santa Maria Chimalhuacan,Android,Chrome Mobile 50,México,adwords
Ecatepec,Android,Chrome Mobile 102,México,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Naucalpan,Android,Chrome Mobile 102,México,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Chihuahua City,Apple iPhone,Mobile Safari 15,Chihuahua,Sin info
Querétaro City,Android,Chrome Mobile 102,Querétaro,adwords
San Luis Río Colorado,Android,Chrome Mobile 102,Sonora,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Mexico City,Android,Facebook 369,Mexico City,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Parras de la Fuente,Android,Chrome Mobile 102,Coahuila,adwords
Tuxtla Gutiérrez,Android,Chrome Mobile 102,Chiapas,Sin info
León,Android,Chrome Mobile 102,Guanajuato,adwords
Coyoacán,Android,Chrome Mobile 102,Mexico City,adwords
Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords
Acapulco de Juárez,Android,Chrome Mobile 102,Guerrero,adwords
Guadalajara,Android,Chrome 92,Jalisco,google2
Mexico City,Android,Chrome Mobile 101,Mexico City,adwords
Monterrey,Windows,Chrome 102,Nuevo León,adwords
Guadalupe Proletaria,Android,Chrome Mobile 83,Mexico City,adwords
Xalapa,Android,Chrome Mobile 102,Veracruz,adwords
Torreón,Android,Chrome Mobile 101,Coahuila,adwords
Guadalajara,Apple iPhone,GSA 213,Jalisco,adwords
San Miguel de Allende,Linux,MIUI Browser 13,Guanajuato,rocket
Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,adwords
San Nicolás de los Garza,Android,Chrome Mobile 102,Nuevo León,adwords
Monterrey,Android,Chrome Mobile 97,Nuevo León,google2
Córdoba,Android,Chrome Mobile 102,Veracruz,Sin info
Alvaro Obregon,Android,Chrome Mobile 102,Mexico City,adwords
Tlaquepaque,Android,Chrome Mobile 102,Jalisco,adwords
Santa Catarina,Android,Chrome Mobile 88,Nuevo León,adwords
Xalapa,Android,Chrome Mobile 102,Veracruz,adwords
Ciudad Nezahualcoyotl,Android,Chrome Mobile 80,México,adwords
Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords
Sin info,Android,Chrome Mobile 102,Jalisco,Sin info
Mexico City,Android,Chrome Mobile 100,Mexico City,rocket
Monterrey,Android,Chrome Mobile 101,Nuevo León,adwords
Coyoacán,Android,Chrome Mobile 102,Mexico City,adwords
Monclova,Android,Chrome Mobile 102,Coahuila,adwords
Iztacalco,Android,Chrome Mobile 102,Mexico City,adwords
Tlalnepantla,Android,Chrome Mobile 102,México,google2
Oaxaca City,Windows,Chrome 102,Oaxaca,adwords
Uruapan,Android,Chrome Mobile 102,Michoacán,google2
Mérida,Android,Chrome Mobile 102,Yucatán,adwords
Aguascalientes,Android,Chrome Mobile 101,Aguascalientes,rocket
Puebla City,Windows,Chrome 101,Puebla,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Puebla City,Android,Chrome Mobile 102,Puebla,adwords
Gustavo Adolfo Madero,Android,Chrome Mobile 100,Mexico City,adwords
Veracruz,Android,Chrome Mobile 102,Veracruz,Sin info
Guadalupe,Android,Chrome Mobile 102,Nuevo León,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,Sin info
Hermosillo,Apple iPad,Mobile Safari 12,Sonora,Sin info
Alvaro Obregon,Android,Chrome Mobile 102,Mexico City,adwords
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Tepic,Android,Chrome 102,Nayarit,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Monterrey,Apple iPhone,Mobile Safari 15,Nuevo León,Sin info
Mexico City,Mac,Safari 15,Mexico City,adwords
Veracruz,Android,Chrome Mobile 91,Veracruz,Sin info
Tuxtla Gutiérrez,Android,Chrome Mobile 102,Chiapas,adwords
Guadalupe,Android,Samsung Browser 17,Nuevo León,Sin info
León,Android,Chrome Mobile 102,Guanajuato,Sin info
Puebla,Android,Chrome WebView 101,Mexico City,Sin info
Gustavo Adolfo Madero,Android,Facebook 302,Mexico City,google2
Zapopan,Android,Chrome Mobile 102,Jalisco,adwords
Xalapa,Android,Facebook 291,Veracruz,google2
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Tlalpan,Android,Chrome Mobile 99,Mexico City,adwords
San Luis Potosí City,Android,Samsung Browser 17,San Luis Potosí,adwords
Santa Maria Coyotepec,Android,Chrome Mobile 101,Oaxaca,Sin info
Monterrey,Android,Chrome Mobile 102,Tabasco,Sin info
Xalapa,Android,Chrome Mobile 102,Veracruz,google2
Chihuahua City,Apple iPhone,GSA 215,Chihuahua,adwords
Coacalco,Windows,Chrome 100,México,adwords
Puebla,Android,Chrome Mobile 102,Mexico City,adwords
Chalco,Android,Chrome Mobile 102,México,adwords
Apizaco,Windows,Chrome 102,Tlaxcala,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
Culiacán,Android,Chrome Mobile 102,Sinaloa,Sin info
Coacalco,Android,Chrome Mobile 102,México,adwords
Des Moines,Windows,Chrome 79,Iowa,Sin info
Mexico City,Android,Chrome Mobile 38,Mexico City,Sin info
Puebla,Android,Chrome Mobile 102,Mexico City,adwords
Naucalpan,Android,Samsung Browser 16,México,google2
Sin info,Android,Samsung Browser 16,Texas,rocket
Zumpango,Android,Chrome Mobile 46,México,blog
Texcoco,Android,Chrome Mobile 102,México,google2
Puebla City,Android,Chrome Mobile 102,Puebla,adwords
Chetumal,Android,Chrome Mobile 102,Quintana Roo,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
Tijuana,Android,Chrome Mobile 102,Baja California,adwords
Celaya,Android,Chrome Mobile 102,Guanajuato,adwords
San Juan de los Lagos,Android,Chrome Mobile 102,Jalisco,Sin info
Tlajomulco de Zuniga,Android,Samsung Browser 17,Jalisco,rocket
Manzanillo,Windows,Firefox 101,Colima,adwords
Durango,Android,Chrome Mobile 102,Durango,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Miguel Hidalgo,Android,Chrome Mobile 102,Mexico City,Sin info
Tlalpan,Android,Chrome Mobile 102,Mexico City,adwords
San Antonio la Isla,Android,Chrome Mobile 101,México,Sin info
Acapulco de Juárez,Android,Chrome Mobile 102,Guerrero,Sin info
Ensenada,Android,Chrome Mobile 102,Baja California,adwords
Amsterdam,Windows,Chrome 80,North Holland,Sin info
Guadalupe,Android,Chrome Mobile 102,Nuevo León,adwords
Sin info,Android,Chrome Mobile 102,Nuevo León,Sin info
Tepic,Android,Chrome Mobile 102,Nayarit,adwords
Culiacán,Android,Chrome Mobile 102,Sinaloa,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Tijuana,Android,Chrome Mobile 102,Baja California,adwords
Monterrey,Windows,Chrome 102,Tabasco,adwords
Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,Sin info
Campeche,Android,Chrome Mobile 102,Campeche,adwords
Tuxtla Gutiérrez,Apple iPhone,Mobile Safari 12,Chiapas,adwords
Piedras Negras,Android,Samsung Browser 7,Coahuila,Sin info
Buenavista,Windows,Chrome 100,México,rocket
Santa Maria Chimalhuacan,Android,Chrome Mobile 102,México,adwords
León,Windows,Chrome 102,Guanajuato,adwords
Querétaro City,Android,Chrome Mobile 102,Querétaro,Sin info
León,Android,Chrome Mobile 56,Guanajuato,Sin info
Xalapa,Android,Chrome Mobile 74,Veracruz,google2
Mexico City,Android,Chrome Mobile 102,Mexico City,google2
Aguascalientes,Android,Chrome Mobile 102,Aguascalientes,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Alvaro Obregon,Android,Chrome Mobile 102,Mexico City,rocket
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,rocket
Reynosa,Android,Chrome Mobile 102,Tamaulipas,adwords
San Luis Potosí City,Android,Chrome Mobile 102,San Luis Potosí,adwords
Mérida,Android,Chrome Mobile 102,Yucatán,adwords
Lerma de Villada,Android,Chrome Mobile 102,México,adwords
Gustavo Adolfo Madero,Apple iPhone,Chrome Mobile 102,Mexico City,rocket
Chilpancingo,Android,Chrome Mobile 102,Guerrero,Sin info
Oaxaca City,Android,Chrome Mobile 102,Oaxaca,adwords
Ciudad Nezahualcoyotl,Android,Chrome Mobile 102,México,adwords
Chihuahua City,Android,Chrome Mobile 102,Chihuahua,adwords
Mexico City,Windows,Chrome 102,Mexico City,adwords
Celaya,Android,Chrome Mobile 102,Guanajuato,Sin info
Tijuana,Android,Chrome 92,Baja California,adwords
Puebla City,Android,Chrome Mobile 95,Puebla,adwords
Querétaro City,Android,Chrome Mobile 102,Querétaro,adwords
Des Moines,Windows,Chrome 79,Iowa,Sin info
Orizaba,Android,Chrome Mobile 101,Veracruz,Sin info
Toluca,Android,Chrome Mobile 102,México,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Puebla,Android,Chrome Mobile 101,Mexico City,rocket
Mérida,Android,Chrome Mobile 102,Yucatán,adwords
León,Android,Chrome Mobile 102,Guanajuato,adwords
Managua,Android,Chrome Mobile 102,Departamento de Managua,Sin info
Mexico City,Android,Chrome Mobile 38,Mexico City,Sin info
Toluca,Android,Chrome Mobile 101,México,google2
Juchitán de Zaragoza,Android,Chrome Mobile 102,Oaxaca,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Puebla City,Apple iPhone,Mobile Safari 14,Puebla,adwords
Sin info,Android,Chrome Mobile 102,Jalisco,adwords
Azcapotzalco,Windows,Chrome 102,Mexico City,Sin info
Guadalajara,Apple iPhone,Mobile Safari 15,Jalisco,adwords
Ciudad Juárez,Windows,Chrome 102,Chihuahua,adwords
Pachuca,Windows,Chrome 100,Hidalgo,adwords
Bandung,Windows,Chrome 100,West Java,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
Coyoacán,Android,Chrome Mobile 102,Mexico City,adwords
Ciudad Nezahualcoyotl,Android,Chrome Mobile 81,México,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Hermosillo,Android,Samsung Browser 17,Sonora,adwords
Puebla City,Android,Chrome Mobile 102,Puebla,adwords
San Pedro,Windows,Chrome 102,Nuevo León,adwords
Coacalco,Android,Chrome Mobile 101,México,adwords
Acatlan de Juarez,Android,Chrome Mobile 102,Jalisco,adwords
Hermosillo,Android,Chrome Mobile 102,Sonora,adwords
Boardman,Linux,Chrome Headless 97,Oregon,Sin info
Juarez,Android,Chrome Mobile 102,Quintana Roo,adwords
Naucalpan,Windows,Chrome 102,México,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Guatemala City,Android,Chrome Mobile 101,Departamento de Guatemala,Sin info
Mexicali,Android,Chrome Mobile 102,Baja California,rocket
Palmar de Bravo,Android,Chrome Mobile 102,Puebla,adwords
Zamora,Android,Samsung Browser 17,Michoacán,google2
Hermosillo,Android,Chrome Mobile 102,Sonora,Sin info
Pachuca,Windows,Chrome 102,Hidalgo,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Saltillo,Android,Chrome Mobile 102,Coahuila,rocket
Mexico City,Android,Chrome Mobile 102,Mexico City,rocket
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,google2
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Toluca,Windows,Chrome 102,México,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,rocket
Ciudad Delicias,Android,Samsung Browser 15,Chihuahua,adwords
Oaxaca City,Android,Chrome Mobile 102,Oaxaca,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Monterrey,Android,Chrome Mobile 99,Nuevo León,adwords
Venustiano Carranza,Android,Chrome Mobile 87,Mexico City,rocket
Villahermosa,Android,Chrome Mobile 102,Tabasco,adwords
Sin info,Android,Chrome Mobile 95,Nuevo León,Sin info
Cancún,Apple iPhone,Mobile Safari 15,Quintana Roo,adwords
Alvaro Obregon,Android,Chrome Mobile 102,Mexico City,adwords
Chilpancingo,Android,Chrome Mobile 102,Guerrero,adwords
Des Moines,Windows,Chrome 79,Iowa,Sin info
Guadalajara,Windows,Chrome 102,Jalisco,adwords
Tlalpan,Android,Chrome Mobile 102,Mexico City,rocket
Montemorelos,Android,Samsung Browser 17,Nuevo León,google2
Venustiano Carranza,Android,Chrome Mobile 102,Mexico City,adwords
Coacalco,Apple iPhone,GSA 213,México,adwords
Monclova,Android,Chrome Mobile 102,Coahuila,rocket
Ciudad Juárez,Android,Chrome Mobile 102,Chihuahua,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
San Pedro,Android,Chrome Mobile 102,Nuevo León,adwords
Guadalajara,Apple iPhone,Chrome Mobile 94,Jalisco,adwords
Tijuana,Android,Chrome Mobile 102,Baja California,adwords
Puebla City,Android,Chrome Mobile 101,Puebla,adwords
Mexicali,Android,Chrome Mobile 102,Baja California,Sin info
Ciudad Lopez Mateos,Android,Chrome Mobile 102,México,rocket
Veracruz,Android,Chrome Mobile 102,Veracruz,google2
León,Android,Chrome Mobile 102,Guanajuato,adwords
Culiacán,Android,Chrome Mobile 100,Sinaloa,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Torreón,Android,Chrome Mobile 102,Coahuila,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,Sin info
León,Windows,Chrome 102,Guanajuato,Sin info
Navojoa,Android,Chrome Mobile 102,Sonora,adwords
Gustavo Adolfo Madero,Android,Chrome Mobile 101,Mexico City,adwords
Venustiano Carranza,Android,Chrome Mobile 102,Mexico City,adwords
Guadalupe,Apple iPhone,Mobile Safari 15,Nuevo León,Sin info
Sin info,Android,Chrome Mobile 102,Tabasco,adwords
Querétaro City,Windows,Chrome 101,Querétaro,adwords
San Antonio,Windows,Chrome 98,Texas,Sin info
Tijuana,Android,Chrome Mobile 102,Baja California,rocket
León,Android,Chrome Mobile 100,Guanajuato,adwords
Zacatecas City,Windows,Chrome 102,Zacatecas,adwords
Ciudad Juárez,Android,Chrome Mobile 102,Chihuahua,adwords
Oaxaca City,Windows,Chrome 102,Oaxaca,adwords
Puebla City,Android,Chrome Mobile 102,Puebla,adwords
Puebla City,Android,Chrome Mobile 102,Puebla,adwords
Juchitán de Zaragoza,Android,Chrome Mobile 102,Oaxaca,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
Zapopan,Windows,Chrome 83,Jalisco,Sin info
Cabo San Lucas,Android,Chrome Mobile 102,Baja California Sur,adwords
Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords
Hermosillo,Android,Chrome Mobile 102,Sonora,rocket
Apodaca,Android,Chrome Mobile 102,Nuevo León,google2
Ecatepec,Android,Chrome Mobile 102,México,adwords
Querétaro City,Android,Chrome Mobile 64,Querétaro,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Tlalnepantla,Apple iPhone,Mobile Safari 14,México,adwords
Minatitlán,Android,Chrome Mobile 102,Veracruz,adwords
Zapopan,Android,Chrome Mobile 102,Jalisco,adwords
Tlalnepantla,Android,Chrome Mobile 102,México,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,Sin info
Tlalpan,Apple iPhone,GSA 213,Mexico City,adwords
Ciudad Nezahualcoyotl,Windows,Chrome 102,México,adwords
Zumpango,Apple iPhone,Safari,México,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Heroica Matamoros,Android,Chrome Mobile 102,Tamaulipas,Sin info
Palenque/Temp,Android,Chrome Mobile 101,Chiapas,adwords
Iztapalapa,Android,Chrome Mobile 87,Mexico City,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
Iguala de la Independencia,Android,Chrome Mobile 102,Guerrero,adwords
Mexico City,Windows,Edge 101,Mexico City,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
Morelia,Android,Chrome Mobile 102,Michoacán,rocket
Toluca,Android,Chrome Mobile 102,México,adwords
Mexico City,Android,Chrome Mobile 79,Mexico City,Sin info
Mexicali,Android,Chrome Mobile 102,Baja California,adwords
Alvaro Obregon,Android,Chrome Mobile 102,Mexico City,adwords
Jiutepec,Windows,Chrome 98,Morelos,adwords
Xalapa,Android,Chrome Mobile 102,Veracruz,rocket
Guadalajara,Android,Chrome Mobile 102,Jalisco,Sin info
Guadalajara,Android,Chrome Mobile 102,Jalisco,rocket
Xalapa,Android,Chrome Mobile 102,Veracruz,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Durango,Android,Chrome Mobile 102,Durango,adwords
Soledad de Graciano Sanchez,Android,Chrome Mobile 102,San Luis Potosí,blog
Tijuana,Android,Chrome Mobile 92,Baja California,adwords
Centro,Android,Chrome Mobile 102,Tabasco,adwords
Ciudad Nezahualcoyotl,Android,Chrome Mobile 102,México,adwords
Sin info,Android,Chrome Mobile 92,Jalisco,Sin info
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Chihuahua City,Android,Chrome Mobile 102,Chihuahua,adwords
Reynosa,Android,Chrome Mobile 102,Tamaulipas,adwords
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Xalapa,Android,Edge 46,Veracruz,rocket
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Campeche,Android,Chrome Mobile 46,Campeche,adwords
Villahermosa,Android,Chrome Mobile 102,Tabasco,adwords
Naucalpan,Android,Chrome Mobile 101,México,adwords
Zumpango,Android,Chrome Mobile 101,México,adwords
Des Moines,Windows,Chrome 97,Iowa,Sin info
Colima,Android,Chrome WebView 101,Colima,google2
Puebla City,Android,Chrome Mobile 102,Puebla,google2
Culiacán,Android,Chrome Mobile 102,Sinaloa,adwords
Mexico City,Android,Chrome Mobile 101,Mexico City,adwords
Reynosa,Android,Chrome Mobile 102,Tamaulipas,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
San Luis Potosí City,Android,Chrome Mobile 97,San Luis Potosí,adwords
Heroica Matamoros,Android,Chrome Mobile 102,Tamaulipas,adwords
Sin info,Android,Chrome Mobile 95,Yucatán,adwords
Veracruz,Apple iPhone,Mobile Safari 14,Veracruz,adwords
Ciudad Juárez,Apple iPhone,Mobile Safari 15,Chihuahua,Sin info
Puebla City,Android,Chrome Mobile 102,Puebla,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Minatitlán,Android,Chrome Mobile 102,Veracruz,google2
Guadalajara,Android,Chrome 102,Jalisco,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,rocket
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
Santa Catarina,Windows,Chrome 102,Nuevo León,Sin info
San Luis Potosí City,Android,Facebook 306,San Luis Potosí,google2
Boardman,Linux,Chrome Headless 97,Oregon,Sin info
Mérida,Android,Chrome Mobile 102,Yucatán,adwords
Monterrey,Android,Chrome Mobile 102,Nuevo León,Sin info
Ecatepec,Android,Chrome Mobile 102,México,adwords
Ecatepec,Android,Chrome Mobile 102,México,Sin info
Uruapan,Windows,Chrome 102,Michoacán,adwords
San Nicolás de los Garza,Windows,Chrome 102,Nuevo León,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Morelia,Android,Chrome Mobile 102,Michoacán,adwords
Sin info,Android,Chrome Mobile 102,Nuevo León,adwords
Zapopan,Android,Chrome Mobile 102,Jalisco,Sin info
Apizaco,Android,Chrome Mobile 102,Tlaxcala,adwords
Xalapa,Android,Chrome Mobile 102,Veracruz,google2
Ciudad Obregón,Windows,Chrome 102,Sonora,adwords
Guadalajara,Android,Chrome Mobile 102,Jalisco,google2
Santo Domingo Este,Apple iPhone,Mobile Safari 15,Provincia de Santo Domingo,Sin info
Miami,Android,Chrome Mobile 101,Florida,adwords
